2.0,1.2241447956710703e-08,1.69584598727714e-08,1.1893349297408552e-08
3.0,4.075331794298611e-08,3.5850332683376084e-08,3.245565197233067e-08
4.0,1.204515746380737e-07,6.023089287088048e-08,7.927112749253823e-08
5.0,2.2447272882778057e-07,7.186317909275303e-08,1.3122955304093277e-07
6.0,4.375252810174614e-07,6.357547225172012e-08,2.0558875177556872e-07
7.0,7.788456604219135e-07,-3.017009972656292e-08,2.460639275210367e-07
8.0,1.1668109819548263e-06,-2.341003123987242e-07,2.3350027449080256e-07
9.0,1.3963892237449406e-06,-3.924738683598352e-07,2.1664314649287488e-07
10.0,1.6766134984667736e-06,-4.5834594316281733e-07,2.648557459439246e-07
11.0,2.080526204021802e-06,-4.417611406725947e-07,3.4125836918840097e-07
12.0,2.698666436150116e-06,-3.0806073163433336e-07,4.47292372893409e-07
13.0,3.5297833275299795e-06,-5.611610427371174e-08,5.989641161214759e-07
14.0,4.522575163224206e-06,2.073493235830006e-07,7.941639866995679e-07
15.0,5.564216539102321e-06,3.6087880118052943e-07,9.626395863028036e-07
16.0,6.6222573508733805e-06,3.491141773304771e-07,1.1066182934763663e-06
17.0,7.4628460366344205e-06,1.73687527316233e-07,1.2191897945316476e-06
18.0,8.029470570340275e-06,-6.178891869757866e-08,1.3320932794367797e-06
19.0,8.379372234495528e-06,-2.4300045015381894e-07,1.4521135655827794e-06
20.0,8.627692184895678e-06,-2.9891112694468047e-07,1.5853958491733158e-06
21.0,8.804090001114275e-06,-2.216790592103691e-07,1.7149232196927926e-06
22.0,8.96395270323154e-06,-5.441471887356658e-08,1.838434570380723e-06
23.0,9.092242348594223e-06,1.2847312338498946e-07,1.9336742062245425e-06
24.0,9.201382684012853e-06,2.5966545006655334e-07,1.993257201209126e-06
25.0,9.273510978329442e-06,3.0576805897685717e-07,1.9991566198286334e-06
26.0,9.325896423101604e-06,2.722418637506684e-07,1.9621540558826646e-06
27.0,9.34492784171783e-06,1.7865949316061918e-07,1.8662256582465587e-06
28.0,9.3487375448839e-06,4.922456584065987e-08,1.7346001550245537e-06
29.0,9.33621158998032e-06,-9.015260131430282e-08,1.5511650716014977e-06
30.0,9.322872088835752e-06,-2.058783540343851e-07,1.3489002706159906e-06
31.0,9.305945210958299e-06,-2.703944948888769e-07,1.112327290337318e-06
