,0
256,5.100922777537411e-13
257,5.041592155465453e-13
258,4.982382548578066e-13
259,4.923664965911271e-13
260,4.865097959847798e-13
261,4.806955736961356e-13
262,4.749080033992542e-13
263,4.691600887964167e-13
264,4.634408318007985e-13
265,4.577656517759016e-13
266,4.521135137652018e-13
267,4.465068952078274e-13
268,4.4093363032231144e-13
269,4.353865431528777e-13
270,4.2989178356098296e-13
271,4.244158186055195e-13
272,4.1899903198407663e-13
273,4.1359768115545286e-13
274,4.0824976309231606e-13
275,4.029290244475287e-13
276,3.9765370988345985e-13
277,3.924140584443287e-13
278,3.8722229690890865e-13
279,3.820600874868755e-13
280,3.7695051301335495e-13
281,3.7186786808220674e-13
282,3.6683467636605166e-13
283,3.618372471109643e-13
284,3.568849591681514e-13
285,3.5197294441333473e-13
286,3.471077247155719e-13
287,3.4228948068298895e-13
288,3.3749784663357645e-13
289,3.3275804123680267e-13
290,3.2805547162190013e-13
291,3.234062451749429e-13
292,3.187891572252118e-13
293,3.1423060140798006e-13
294,3.097008522943431e-13
295,3.052251280714904e-13
296,3.00786257242917e-13
297,2.963952799455975e-13
298,2.9204748708037963e-13
299,2.877499222040394e-13
300,2.8349017763370383e-13
301,2.792845051951859e-13
302,2.7511379475837224e-13
303,2.709941532333527e-13
304,2.669163094823375e-13
305,2.6288534010050316e-13
306,2.589092752068376e-13
307,2.5496275260458337e-13
308,2.5107533650614447e-13
309,2.472216553283403e-13
310,2.43419359700181e-13
311,2.396598060295416e-13
312,2.3595062342146926e-13
313,2.322816849244737e-13
314,2.2866795018030346e-13
315,2.2508845618311057e-13
316,2.215629559358893e-13
317,2.1807663948597461e-13
318,2.1463896285477457e-13
319,2.112459620439285e-13
320,2.0790113106823887e-13
321,2.0459841486542802e-13
322,2.013458676769439e-13
323,1.9813273199279796e-13
324,1.9496835333858484e-13
325,1.9184908787442238e-13
326,1.887710915358758e-13
327,1.8574570856035085e-13
328,1.8275568606743676e-13
329,1.7981815911210675e-13
330,1.7691767407756459e-13
331,1.740652566417766e-13
332,1.712545016655037e-13
333,1.6849148499176114e-13
334,1.657679781003555e-13
335,1.6309421827663504e-13
336,1.6045696272995734e-13
337,1.5786733543756483e-13
338,1.5531704947259426e-13
339,1.5281093864634386e-13
340,1.5034677097073507e-13
341,1.4792705248325206e-13
342,1.4554650858783014e-13
343,1.4321139228807138e-13
344,1.4091374643723846e-13
345,1.386593456115846e-13
346,1.364461819891697e-13
347,1.3427111852747527e-13
348,1.3214150756264707e-13
349,1.3004645837130191e-13
350,1.279959153926346e-13
351,1.2598086517299462e-13
352,1.240066770816826e-13
353,1.220706048624267e-13
354,1.2017479882999127e-13
355,1.1831519818415057e-13
356,1.1649752056885358e-13
357,1.1471305299197639e-13
358,1.129692967361866e-13
359,1.11259974758091e-13
360,1.0958811499343978e-13
361,1.0795257057202348e-13
362,1.0635370392598392e-13
363,1.0478913531930504e-13
364,1.0326216084861681e-13
365,1.0176724957677038e-13
366,1.0030878681137428e-13
367,9.888329913183521e-14
368,9.749160919631698e-14
369,9.613554067089864e-14
370,9.48090759573094e-14
371,9.351809651751767e-14
372,9.225712797136405e-14
373,9.102863846525629e-14
374,8.983157625673121e-14
375,8.866591803824098e-14
376,8.753006322383118e-14
377,8.642641867631192e-14
378,8.535016979431938e-14
379,8.430537943684533e-14
380,8.328817953094484e-14
381,8.23000698232473e-14
382,8.134035057800955e-14
383,8.040851710793513e-14
384,7.950369956229308e-14
